datetime,price,volume
6/27/19 12:20,275.4,0
6/27/19 12:21,275.4,0
6/27/19 12:22,275.4,0
6/27/19 12:23,275.4,0
6/27/19 12:24,275.4,0
6/27/19 12:25,275.4,0
6/27/19 12:26,275.4,0
6/27/19 12:27,275.4,0
6/27/19 12:28,275.4,0
6/27/19 12:29,275.4,0
6/27/19 12:30,275.4,0
6/27/19 12:31,275.4,0
6/27/19 12:32,275.4,0
6/27/19 12:33,275.4,0
6/27/19 12:34,275.4,0
6/27/19 12:35,275.4,0
6/27/19 12:36,275.4,0
6/27/19 12:37,275.4,0
6/27/19 12:38,275.4,0
6/27/19 12:39,275.4,0
6/27/19 12:40,275.4,0
6/27/19 12:41,275.4,0
6/27/19 12:42,275.4,0
6/27/19 12:43,275.4,0
6/27/19 12:44,275.4,0
6/27/19 12:45,275.4,0
6/27/19 12:46,275.4,0
6/27/19 12:47,275.4,0
6/27/19 12:48,275.4,0
6/27/19 12:49,275.4,0
6/27/19 12:50,275.4,0
6/27/19 12:51,275.4,0
6/27/19 12:52,275.4,0
6/27/19 12:53,275.4,0
6/27/19 12:54,275.4,0
6/27/19 12:55,275.4,0
6/27/19 12:56,275.4,0
6/27/19 12:57,275.4,0
6/27/19 12:58,275.4,0
6/27/19 12:59,275.4,0
6/27/19 13:00,275.6,36800
6/27/19 13:01,275.504,1500
6/27/19 13:02,275.4,1800
6/27/19 13:03,275.6,1200
6/27/19 13:04,275.6,900
6/27/19 13:05,275.4,2200
6/27/19 13:06,275.4,13300
6/27/19 13:07,275.6,1600
6/27/19 13:08,275.6,800
6/27/19 13:09,275.4,900
6/27/19 13:10,275.6,1300
6/27/19 13:11,275.6,900
6/27/19 13:12,275.4,1900
6/27/19 13:13,275.6,1000
6/27/19 13:14,275.6,3100
6/27/19 13:15,275.5,1600
6/27/19 13:16,275.6,9300
6/27/19 13:17,275.6,10100
6/27/19 13:18,275.6,800
6/27/19 13:19,275.6,1600
6/27/19 13:20,275.6,2800
6/27/19 13:21,275.6,11700
6/27/19 13:22,275.4,15500
6/27/19 13:23,275.4,1300
6/27/19 13:24,275.4,8800
6/27/19 13:25,275.6,3000
6/27/19 13:26,275.6,1100
6/27/19 13:27,275.4,2200
6/27/19 13:28,275.2,4300
6/27/19 13:29,275.4,1800
6/27/19 13:30,275.6,11700
6/27/19 13:31,275.4,7500
6/27/19 13:32,275.4,1500
6/27/19 13:33,275.4,1700
6/27/19 13:34,275.2,22500
6/27/19 13:35,275.1,2000
6/27/19 13:36,275.4,7600
6/27/19 13:37,275.3,500
6/27/19 13:38,275.4,600
6/27/19 13:39,275.4,1000
6/27/19 13:40,275.4,1100
6/27/19 13:41,275.2,1200
6/27/19 13:42,275.2,6200
6/27/19 13:43,275.2,17000
6/27/19 13:44,275.2,6700
6/27/19 13:45,275.3,2600
6/27/19 13:46,275.4,300
6/27/19 13:47,275.4,2100
6/27/19 13:48,275.1,3800
6/27/19 13:49,275.4,27600
6/27/19 13:50,275.4,4600
6/27/19 13:51,275.4,400
6/27/19 13:52,275.4,1200
6/27/19 13:53,275.2,13100
